name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
california,2019-07-23,95.4,64.7,78.1,91.7,64.7,77.3,53.1,45,0,0,0,,0,0,19.7,14.8,187.9,1013.4,4.4,9.9,395.5,33.9,10,,2019-07-23T05:59:58,2019-07-23T20:24:30,0.73,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-07-24,98.2,64.3,80.5,94.8,64.3,79.1,49,36.8,0,0,0,,0,0,,7.9,257.3,1013.2,0.2,9.9,396.8,34,10,,2019-07-24T06:00:47,2019-07-24T20:23:43,0.75,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-07-25,98.1,67.3,81.1,93.5,67.3,79.7,48.5,35.4,0,0,0,,0,0,17.2,10.8,217.6,1011.4,11.8,9.9,339.3,29.2,10,,2019-07-25T06:01:37,2019-07-25T20:22:55,0.79,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-07-26,93.4,63.6,77.4,89.4,63.6,76.2,50,42.6,0,0,0,,0,0,,11.5,200.6,1013.8,4.6,9.9,386.6,33.4,10,,2019-07-26T06:02:27,2019-07-26T20:22:05,0.82,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-07-27,101.7,58.9,80.5,99.7,58.9,79.7,54.9,47.6,0,0,0,,0,0,,7.5,252.1,1014.1,0.4,9.9,388.2,33.5,10,,2019-07-27T06:03:17,2019-07-27T20:21:13,0.86,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-07-28,102.9,68.7,84.3,100.7,68.7,83.6,55.4,40.4,0,0,0,,0,0,,13.3,223.9,1010.8,0.9,9.9,386.2,33.4,10,,2019-07-28T06:04:08,2019-07-28T20:20:19,0.89,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-07-29,88.8,62.1,74.1,87.6,62.1,73.9,55.5,54,0,0,0,,0,0,21.9,13.7,191,1010.4,1.1,9.9,393.3,34,10,,2019-07-29T06:04:59,2019-07-29T20:19:24,0.92,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-07-30,87.5,57.9,70.8,84.9,57.9,70.4,53.7,58.2,0,0,0,,0,0,19.7,12.7,196.6,1011.6,2.2,9.9,390,33.8,10,,2019-07-30T06:05:50,2019-07-30T20:18:28,0.96,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-07-31,92.8,57.1,72.9,90.1,57.1,72.1,53.7,56.9,0,0,0,,0,0,,10.9,205,1012,0.4,9.9,389.3,33.8,10,,2019-07-31T06:06:42,2019-07-31T20:17:30,0,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-08-01,87.4,59.9,71.7,86.4,59.9,71.6,56.8,61.8,0,0,0,,0,0,20.8,11.5,191.1,1013.7,0,9.9,386.9,33.5,10,,2019-08-01T06:07:34,2019-08-01T20:16:30,0.02,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-02,93.2,60.9,75.1,92,60.9,74.8,57.9,59.6,0,0,0,,0,0,,8.7,197.6,1014.5,0.2,9.9,382.1,32.9,10,,2019-08-02T06:08:26,2019-08-02T20:15:29,0.06,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-03,97.1,64,78.6,95.2,64,78.2,57.2,52.4,0,0,0,,0,0,,11.1,206.2,1011.8,1.9,9.9,379.4,32.7,10,,2019-08-03T06:09:18,2019-08-03T20:14:27,0.09,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-04,94.1,62.5,75.7,93.7,62.5,75.5,58.4,58.7,0,0,0,,0,0,,10.5,191.6,1012,3.8,9.9,386.5,33.3,10,,2019-08-04T06:10:11,2019-08-04T20:13:23,0.13,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-05,94.9,60.2,75.6,92.1,60.2,75,56.1,56.7,0,0,0,,0,0,,9.3,203,1012.4,9.3,9.9,352.3,30.5,10,,2019-08-05T06:11:04,2019-08-05T20:12:18,0.16,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-06,96.3,64.4,77.8,93,64.4,77.1,54.9,49.5,0,0,0,,0,0,19.7,12.7,205.4,1010.6,10.6,9.9,355.6,30.5,10,,2019-08-06T06:11:57,2019-08-06T20:11:12,0.2,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-07,89.7,60,72.5,88,60,72.3,55.9,59,0,0,0,,0,0,17.2,12.5,190.6,1010.7,4.6,9.9,371.7,32.2,10,,2019-08-07T06:12:50,2019-08-07T20:10:04,0.25,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-08,81.7,60,68.8,81.2,60,68.8,54.2,61.8,0,0,0,,0,0,21.9,14.2,188.1,1012.1,4.4,9.9,371.1,32.1,10,,2019-08-08T06:13:43,2019-08-08T20:08:55,0.27,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-09,86,60.2,70.8,83.9,60.2,70.4,53.2,56.7,0,0,0,,0,0,18.3,11,185.7,1012.2,15.2,9.9,302.4,26.1,9,,2019-08-09T06:14:36,2019-08-09T20:07:45,0.3,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
california,2019-08-10,83.3,62.3,71.9,82.2,62.3,71.7,58.1,65.4,0,0,0,,0,0,21.9,16.4,198.8,1013.2,9.6,9.9,362.6,31.3,10,,2019-08-10T06:15:30,2019-08-10T20:06:33,0.34,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-11,89,57.6,73.5,86,57.6,72.7,53.7,56.9,0,0,0,,0,0,20.8,10.1,318,1015.2,1.4,9.9,368.4,31.9,10,,2019-08-11T06:16:23,2019-08-11T20:05:21,0.37,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,KSAC,CI155,72057600174"
california,2019-08-12,93.8,61,77.5,91,61,76.5,53.4,47.5,0,0,0,,0,0,,9.6,235.9,1013.4,0.9,9.9,367.1,31.5,10,,2019-08-12T06:17:17,2019-08-12T20:04:07,0.41,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-13,97.7,62.3,80,94.5,62.3,78.9,53.6,45.1,0,0,0,,0,0,,7.1,234.4,1012.9,1.1,9.9,369.2,31.6,10,,2019-08-13T06:18:10,2019-08-13T20:02:52,0.44,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,AN063,72483323206,KSAC,CI155,72057600174"
california,2019-08-14,101.7,63.6,83,97.9,63.6,81.9,54.4,42.7,0,0,0,,0,0,,7.7,286.4,1012.8,0.4,9.9,364.1,31.4,10,,2019-08-14T06:19:04,2019-08-14T20:01:36,0.47,Clear,Clear conditions throughout the day.,clear-day,"KSMF,TS389,72483023232,72483993225,72483323206,AN063,KSAC,CI155,72057600174"
